Date,Close,High,Low,Open,Volume
7/6/2021,20.65605927,20.79926441,20.30852388,20.69497886,446708000
7/7/2021,20.32997704,20.83219523,20.2903094,20.81073968,418428000
7/8/2021,19.86194229,20.0917196,19.6603568,19.81578773,503300000
7/9/2021,20.00913811,20.03907728,19.7137455,19.92156855,296624000
7/12/2021,20.47044182,20.49064871,20.14635679,20.19849956,321984000
7/13/2021,20.20847702,20.41929415,20.07275621,20.35866776,290708000
7/14/2021,19.80081558,20.37588409,19.71224862,20.31600765,380100000
7/15/2021,18.92735863,19.80630328,18.81982963,19.77112585,550564000
7/16/2021,18.12376404,19.11772224,18.03594512,18.99148243,688224000
7/19/2021,18.74124336,19.00295462,17.82886669,17.87851595,749060000
7/20/2021,18.57383537,18.79937179,18.12675405,18.69159344,434687000
7/21/2021,19.37020302,19.48696371,18.70357337,18.84328571,371017000
7/22/2021,19.55382729,19.84622583,19.23647847,19.60172921,323826000
7/23/2021,19.51789856,19.6596076,19.21052952,19.61569719,195672000
7/26/2021,19.25443649,19.40213182,18.87521465,19.27140183,203943000
7/27/2021,19.16861534,19.58176602,18.70257194,19.22549767,248863000
7/28/2021,19.46301079,19.60571723,18.95605298,19.27938805,202191000
7/29/2021,19.62168694,19.81229531,19.28837021,19.47897858,190781000
